,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
43634,677845008,677845,Linn HW Side Stripe DNM,272,Trousers,Garment Lower body,1010002,Application/3D,72,Blue,7,Medium,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"Ankle-length jeans in washed stretch twill with a high waist, zip fly and button, back pockets and skinny legs with stripes down the sides."
43672,677899002,677899,Salt Sweater,252,Sweater,Garment Upper body,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Long top in soft sweatshirt fabric with a ribbed turtle neck and ribbing at the cuffs and hem. Slightly longer at the back. Soft brushed inside.
43686,677930002,677930,Queen Sweater,252,Sweater,Garment Upper body,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Top in lightweight sweatshirt fabric with ribbing around the neckline, cuffs and hem."
43689,677930005,677930,Queen Sweater,252,Sweater,Garment Upper body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Top in lightweight sweatshirt fabric with ribbing around the neckline, cuffs and hem."
43692,677930015,677930,Queen Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Top in lightweight sweatshirt fabric with ribbing around the neckline, cuffs and hem."
43695,677930023,677930,Queen Sweater,252,Sweater,Garment Upper body,1010007,Embroidery,10,White,3,Light,9,White,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Top in lightweight sweatshirt fabric with ribbing around the neckline, cuffs and hem."
43698,677930027,677930,Queen Sweater,252,Sweater,Garment Upper body,1010007,Embroidery,22,Yellow,5,Bright,8,Yellow,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Top in lightweight sweatshirt fabric with ribbing around the neckline, cuffs and hem."
43705,677930066,677930,Queen Sweater,252,Sweater,Garment Upper body,1010007,Embroidery,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Top in lightweight sweatshirt fabric with ribbing around the neckline, cuffs and hem."
43777,678086001,678086,Ida Panel Jogger,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, side stripes and ribbed hems."
43804,678230003,678230,Flamingo,258,Blouse,Garment Upper body,1010016,Solid,52,Pink,2,Medium Dusty,4,Pink,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,"Long-sleeved blouse in an airy weave with a collar, buttons down the front and at the cuffs, and a rounded hem with slits in the sides. Unlined."
43807,678239002,678239,ED Tulip,254,Top,Garment Upper body,1010022,Jacquard,10,White,3,Light,9,White,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Long-sleeved top in jacquard-patterned jersey with a slightly wider neckline and a rounded hem with slits in the sides.
43826,678291005,678291,Gary v-neck,252,Sweater,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,1646,Knitwear Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1003,Knitwear,"Cable-knit jumper in a soft cotton blend with a V-neck, long sleeves and ribbing around the neckline, cuffs and hem. Stocking-stitched back."
43839,678342001,678342,Lima SS.,255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Fitted T-shirt in soft cotton jersey with a slightly wider neckline with a narrow ribbed trim.
43851,678342025,678342,Lima SS.,255,T-shirt,Garment Upper body,1010017,Stripe,31,Light Orange,1,Dusty Light,3,Orange,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Fitted T-shirt in soft cotton jersey with a slightly wider neckline with a narrow ribbed trim.
43852,678342028,678342,Lima SS.,255,T-shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Fitted T-shirt in soft cotton jersey with a slightly wider neckline with a narrow ribbed trim.
43882,678553001,678553,Pumi boatneck sweater,252,Sweater,Garment Upper body,1010010,Melange,6,Light Grey,1,Dusty Light,12,Grey,1610,Knitwear,A,Ladieswear,1,Ladieswear,6,Womens Casual,1003,Knitwear,"Boat-neck jumper in a soft, fine knit with long sleeves and ribbing around the neckline, cuffs and hem."
43887,678558004,678558,Bell,272,Trousers,Garment Lower body,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Calf-length skirt in a rib-knit viscose blend with a high, elasticated waist. Bell shaped at the bottom."
43896,678571011,678571,AZELIA fancy iphone case,78,Other accessories,Accessories,1010001,All over pattern,93,Dark Green,4,Dark,19,Green,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Hard smartphone case. Fits iPhone 6/6s/7/8.
43935,678687011,678687,KARIN SPORTS BRA,306,Bra,Underwear,1010001,All over pattern,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports bra in fast-drying functional fabric with a lined front, racer back with sections in ventilating mesh and a wide elastic hem. Medium support."
43939,678687016,678687,KARIN SPORTS BRA,306,Bra,Underwear,1010010,Melange,7,Grey,4,Dark,12,Grey,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports bra in fast-drying functional fabric with a lined front, racer back with sections in ventilating mesh and a wide elastic hem. Medium support."
43940,678688001,678688,COLETTE PUSH UP BRA,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Fully lined sports bra in fast-drying functional fabric with moulded, padded cups that lift and shape while providing good support. Adjustable shoulder straps that cross at the back, a fastening at the back with two pairs of hooks and eyes and an elasticated hem. Medium support."
43953,678692011,678692,DEXTER TANK,253,Vest top,Garment Upper body,1010001,All over pattern,71,Light Blue,3,Light,2,Blue,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Loose-fitting sports vest top in fast-drying jersey with mesh sections and a racer back.
43954,678694001,678694,SPEEDY TEE,255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Short-sleeved sports top in fast-drying functional fabric with a gently rounded hem. The top is made partly from recycled polyester.
43973,678707001,678707,VALENTINE LONGSLEEVE,252,Sweater,Garment Upper body,1010010,Melange,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Sports top in fast-drying mesh with long sleeves, thumbholes at the cuffs, and a rounded hem.Slightly longer at the back. The top is made partly from recycled polyester."
43982,678715002,678715,Alisha Blouse,258,Blouse,Garment Upper body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1543,Tops Woven,D,Divided,2,Divided,53,Divided Collection,1010,Blouses,"Blouse in a viscose crêpe weave with a turtle neck. Opening at the front, an opening with buttons at the back of the neck, and long trumpet sleeves."
44032,678942001,678942,Harrison short sleeve top CN,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1616,Knitwear,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1003,Knitwear,"Short-sleeved jumper in a soft, fine-knit viscose blend with ribbing around the neckline, sleeves and hem."
44034,678942003,678942,Harrison,252,Sweater,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Short-sleeved jumper in a soft, fine-knit viscose blend with ribbing around the neckline, sleeves and hem."
44038,678942016,678942,Harrison,252,Sweater,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Short-sleeved jumper in a soft, fine-knit viscose blend with ribbing around the neckline, sleeves and hem."
44041,678942026,678942,Harrison (1),252,Sweater,Garment Upper body,1010010,Melange,51,Light Pink,1,Dusty Light,4,Pink,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Short-sleeved jumper in a soft, fine-knit viscose blend with ribbing around the neckline, sleeves and hem."
44042,678942031,678942,Harrison (1),252,Sweater,Garment Upper body,1010010,Melange,14,Dark Beige,4,Dark,11,Beige,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Short-sleeved jumper in a soft, fine-knit viscose blend with ribbing around the neckline, sleeves and hem."
44043,678942032,678942,Harrison (1),252,Sweater,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Short-sleeved jumper in a soft, fine-knit viscose blend with ribbing around the neckline, sleeves and hem."
44048,678942047,678942,Harrison (1),252,Sweater,Garment Upper body,1010010,Melange,73,Dark Blue,2,Medium Dusty,6,Lilac Purple,3708,Loungewear,A,Ladieswear,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Short-sleeved jumper in a soft, fine-knit viscose blend with ribbing around the neckline, sleeves and hem."
44105,679042003,679042,Dominique Body,254,Top,Garment Upper body,1010016,Solid,23,Dark Yellow,4,Dark,8,Yellow,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Sleeveless body in ribbed jersey with a square neckline and press-studs at the crotch.
44165,679278001,679278,Charlotte Push Melbourne,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Lace push-up bra with underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a narrow hook-and-eye fastening at the back."
44174,679280003,679280,Charlotte Bikini Lotus Low,286,Underwear bottom,Underwear,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Lace bikini briefs with a low waist, lined gusset and cutaway coverage at the back."
44181,679284001,679284,Charlotte SP Straps Andes,306,Bra,Underwear,1010020,Contrast,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Super push-up bra in lace with decorative lace straps at the front and underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back."
44236,679525004,679525,Aston color block hood,308,Hoodie,Garment Upper body,1010005,Colour blocking,73,Dark Blue,4,Dark,2,Blue,7952,Jersey License,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,Top in block-coloured sweatshirt fabric with a lined drawstring hood with a wrapover front. Kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.
44276,679663002,679663,Embr front frill,254,Top,Garment Upper body,1010016,Solid,21,Light Yellow,3,Light,8,Yellow,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,"Top in slub cotton jersey with a front section in woven fabric with embroidery. Round neck and short, flounced sleeves."
44345,679726001,679726,Mellis plisse,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Sleeveless top in a pleated weave with a gathered, smocked stand-up collar and an opening with buttons at the back of the neck."
44346,679726003,679726,Mellis plisse,253,Vest top,Garment Upper body,1010016,Solid,73,Dark Blue,5,Bright,2,Blue,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Sleeveless top in a pleated weave with a gathered, smocked stand-up collar and an opening with buttons at the back of the neck."
44374,679853009,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010010,Melange,22,Yellow,7,Medium,8,Yellow,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44377,679853013,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010010,Melange,42,Red,7,Medium,18,Red,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44378,679853014,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010010,Melange,73,Dark Blue,4,Dark,2,Blue,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44379,679853016,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44381,679853018,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010016,Solid,73,Dark Blue,5,Bright,2,Blue,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44382,679853020,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010016,Solid,43,Dark Red,4,Dark,18,Red,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44383,679853021,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010010,Melange,10,White,3,Light,9,White,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44384,679853026,679853,Sirpa Basic TVP,252,Sweater,Garment Upper body,1010010,Melange,51,Light Pink,1,Dusty Light,4,Pink,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit with ribbing around the neckline, cuffs and hem."
44391,679854005,679854,Maja Cardigan TVP,245,Cardigan,Garment Upper body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Long-sleeved cardigan in a soft, loose knit with no buttons. The polyester content of the cardigan is recycled."
44395,679854013,679854,Maja Cardigan TVP,245,Cardigan,Garment Upper body,1010016,Solid,43,Dark Red,4,Dark,18,Red,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Long-sleeved cardigan in a soft, loose knit with no buttons. The polyester content of the cardigan is recycled."
44487,680262003,680262,SUPREME tights,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Sports tights in fast-drying functional fabric with a wide waistband to hold in and shape the waist. Concealed key pocket in the waistband.
44491,680262008,680262,SUPREME tights,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,8,Dark Grey,4,Dark,-1,Unknown,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Sports tights in fast-drying functional fabric with a wide waistband to hold in and shape the waist. Concealed key pocket in the waistband.
44497,680263001,680263,HAVANA tights,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,9,Black,4,Dark,5,Black,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Yoga tights in fast-drying functional fabric with a wide waistband to hold in and shape the waist. Key pocket in the waistband.
44498,680263002,680263,HAVANA tights,273,Leggings/Tights,Garment Lower body,1010005,Colour blocking,73,Dark Blue,4,Dark,2,Blue,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Yoga tights in fast-drying functional fabric with a wide waistband to hold in and shape the waist. Key pocket in the waistband.
44504,680264002,680264,FLORIDA tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,8310,Ladies Sport Bottoms,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,"Running tights in fast-drying functional fabric with a wide waistband with a concealed drawstring, a zip at the hems and reflective details."
44520,680327001,680327,NORMA cropped conscious,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8397,Ladies Sport Woven,S,Sport,26,Sport,5,Ladies H&M Sport,1001,Unknown,"3/4-length sports trousers in lightweight, fast-drying functional fabric with an elasticated waist and side pockets. Tapered legs with a mesh section at the back and ribbed hems. The trousers are made partly from recycled polyester."
44536,680380001,680380,Bradshaw,258,Blouse,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1515,Blouse,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1010,Blouses,"Shirt in a crêpe weave with a bib front and cuffs in dobby-weave cotton. Small stand-up collar, concealed buttons down the front, a yoke with a pleat at the back, and a rounded hem."
44547,680391003,680391,Mary Scarf(1),80,Scarf,Accessories,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,3409,Scarves,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Scarf in woven fabric with fringes on the short sides.
44561,680391030,680391,Mary Scarf,80,Scarf,Accessories,1010016,Solid,93,Dark Green,2,Medium Dusty,19,Green,3409,Scarves,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Scarf in woven fabric with fringes on the short sides.
44597,680549001,680549,Cappucino waspie,289,Nipple covers,Underwear,1010021,Lace,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear",Waspie in lace and mesh with support panels at the front and a hook-and-eye fastening.
44637,680790002,680790,Champagne,262,Jacket,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,Short coat in sturdy felted fabric with a zip down the front and flap front pockets. Lined.
44656,680912007,680912,Linni tee,255,T-shirt,Garment Upper body,1010014,Placement print,73,Dark Blue,4,Dark,2,Blue,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,T-shirt in cotton jersey with a print motif on the front and short sleeves with sewn-in turn-ups.
44660,680912017,680912,Linni tee,255,T-shirt,Garment Upper body,1010014,Placement print,10,White,3,Light,9,White,1640,Tops Fancy Jersey,D,Divided,2,Divided,53,Divided Collection,1005,Jersey Fancy,T-shirt in cotton jersey with a print motif on the front and short sleeves with sewn-in turn-ups.
44766,681174007,681174,Alison shirt dress w,265,Dress,Garment Full body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short dress in woven fabric with a collar, buttons down the front and a yoke at the back. Narrow, detachable belt at the waist and long sleeves with buttoned cuffs. Unlined."
44767,681174015,681174,Alison shirt dress,265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short dress in woven fabric with a collar, buttons down the front and a yoke at the back. Narrow, detachable belt at the waist and long sleeves with buttoned cuffs. Unlined."
44768,681174016,681174,Alison shirt dress,265,Dress,Garment Full body,1010001,All over pattern,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short dress in woven fabric with a collar, buttons down the front and a yoke at the back. Narrow, detachable belt at the waist and long sleeves with buttoned cuffs. Unlined."
44793,681179001,681179,Kim pinafore dress,265,Dress,Garment Full body,1010023,Denim,9,Black,4,Dark,5,Black,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short, gently fitted dungaree dress in woven fabric with buttons down the front, wide, adjustable shoulder straps and a seam at the waist."
44799,681179022,681179,Kim pinafore dress,265,Dress,Garment Full body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short, gently fitted dungaree dress in woven fabric with buttons down the front, wide, adjustable shoulder straps and a seam at the waist."
44807,681180008,681180,Panda skate dress j,265,Dress,Garment Full body,1010017,Stripe,10,White,3,Light,9,White,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short, sleeveless dress in sturdy jersey with a low-cut back, seam at the waist and flared skirt. The polyester content of the dress is partly recycled."
44817,681180037,681180,Panda skate dress j,265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short, sleeveless dress in sturdy jersey with a low-cut back, seam at the waist and flared skirt. The polyester content of the dress is partly recycled."
44847,681247002,681247,Porcupine fluid coat,263,Coat,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,"Trenchcoat woven in a modal blend with notch lapels, shoulder tabs with decorative buttons, 3/4-length sleeves with sewn-in turn-ups, side pockets and a detachable tie belt. Unlined."
44852,681264008,681264,1 Pk expressive,302,Socks,Socks & Tights,1010001,All over pattern,73,Dark Blue,5,Bright,2,Blue,7188,Socks Bin,F,Menswear,3,Menswear,26,Men Underwear,1021,Socks and Tights,Jacquard-patterned socks in a soft cotton blend with elasticated tops.
44884,681373026,681373,CHERRY JRSY SKIRT,275,Skirt,Garment Lower body,1010004,Check,61,Light Purple,3,Light,6,Lilac Purple,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,Short jersey skirt with concealed elastication at the waist.
44889,681381007,681381,TANJA SKIRT,275,Skirt,Garment Lower body,1010001,All over pattern,9,Black,4,Dark,5,Black,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,Long skirt in an airy weave with an elasticated waist and high slits in the sides. Short underskirt.
44890,681381008,681381,TANJA SKIRT,275,Skirt,Garment Lower body,1010001,All over pattern,42,Red,7,Medium,18,Red,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,Long skirt in an airy weave with an elasticated waist and high slits in the sides. Short underskirt.
44891,681381009,681381,TANJA SKIRT,275,Skirt,Garment Lower body,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,Long skirt in an airy weave with an elasticated waist and high slits in the sides. Short underskirt.
44893,681385002,681385,TRUFFEL SKIRT,275,Skirt,Garment Lower body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,Calf-length skirt in an airy viscose weave with a wrapover front and high waist with concealed press-studs and ties at one side. Unlined.
44914,681592001,681592,Ariel SL-set (W),297,Pyjama set,Nightwear,1010004,Check,8,Dark Grey,4,Dark,12,Grey,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Pyjamas with a fitted top in ribbed jersey and shorts in woven fabric. Top with a gathered V-neck, long sleeves and overlocked edges at the cuffs and hem. Shorts with an elasticated drawstring waist and frilled hems."
44925,681657001,681657,Georgina,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Long-sleeved top in soft, ribbed jersey with a V-neck and button placket."
45091,682189001,682189,PE CINDY TROUSER,272,Trousers,Garment Lower body,1010016,Solid,93,Dark Green,4,Dark,19,Green,3080,Take Care External,A,Ladieswear,1,Ladieswear,97,Collaborations,1001,Unknown,"Suit trousers in a wool weave with a regular waist, extended waistband with a concealed hook-and-eye fastener and zip fly. Side pockets, jetted back pockets and wide, straight legs."
45100,682204001,682204,PE CRAWFORD BLAZER,264,Blazer,Garment Upper body,1010016,Solid,93,Dark Green,4,Dark,19,Green,3080,Take Care External,A,Ladieswear,1,Ladieswear,97,Collaborations,1001,Unknown,"Straight-cut, double-breasted jacket in a wool weave with narrow notch lapels. Concealed press-studs at the front and cuffs, a jetted front pocket and a single back vent."
45104,682236001,682236,ALEXA COMPONENT BAG,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Small shoulder bag in imitation leather with a detachable, adjustable shoulder strap and an imitation suede flap with a fastener. One inner compartment and one outer compartment with a zip. Lined. Height 18 cm. Width 23 cm."
45110,682236023,682236,ALEXA COMPONENT BAG,66,Bag,Accessories,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Small shoulder bag in imitation leather with a detachable, adjustable shoulder strap and an imitation suede flap with a fastener. One inner compartment and one outer compartment with a zip. Lined. Height 18 cm. Width 23 cm."
45114,682238003,682238,NAV MINI BACK PACK,467,Backpack,Bags,1010016,Solid,9,Black,4,Dark,5,Black,3944,Bags,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,"Small backpack with metal details. Zip and handle at the top, a zipped outer compartment and adjustable shoulder straps. Size 11x21x26 cm."
45153,682261004,682261,Linda Beanie,496,Beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Hat in a soft rib knit with a sewn-in turn-up at the hem.
45174,682289006,682289,Porcupine fluid trench,262,Jacket,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,"Knee-length trenchcoat in a woven modal blend with notch lapels and 3/4-length sleeves with a tab and decorative button at the cuffs. Front pockets, a detachable tie belt at the waist, and slits in the sides. Unlined."
45184,682291001,682291,Dublin puffer ISW46,308,Hoodie,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,"Short padded jacket in woven fabric with a stand-up collar, contrasting colour zip and concealed, zipped pockets at the front. Elasticated cuffs and a drawstring at the hem. Lined."
45216,682509001,682509,Wille boot,87,Boots,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3529,Boots,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Ankle boots with a zip in one side and a loop at the back. Satin linings and imitation leather insoles. Heel 6 cm.
